year,CP,estimation_method,estimation_method_detailed,fd_pc,fd_2WMV,fd_Car,fd_Bus,fd_lgv,fd_HGVR2,fd_HGVR3,fd_HGVR4,fd_hgva3,fd_hgva5,fd_hgva6,fd_hgv,fd_all_mv
2016,51,Estimated,Estimated using previous year's AADF on this link,233,101,559,28,400,42,20.91,19.07,5.95,13.94,20.92,42,1130
2016,52,Estimated,Estimated using previous year's AADF on this link,85,83,652,9,234,11,10.29,4.94,3.43,5.33,9.83,11,990
2016,53,Counted,Manual count,229,85,696,6,376,20,19.42,18.27,1,12.94,20.66,21,1184
2016,54,Estimated,Estimated using previous year's AADF on this link,60,57,355,6,266,35,16.75,6.04,4.37,9.74,20.46,35,720
2016,55,Estimated,Estimated using previous year's AADF on this link,33,22,172,22.74,159,16,6.13,3.53,1.29,1.92,3.21,16,368
2016,60,Estimated,Estimated using previous year's AADF on this link,45,133,13128,104,2770,400,71,131,101,164,146,1013,17148
2016,61,Counted,Automatic counter,68,47,6427,140,1070,119,23,23,6,17,22,209,7894
2016,62,Counted,Automatic counter,67.15,200,47190,236,9788,1664,353,327,265,1233,2511,6353,63768
2016,63,Counted,Automatic counter,32.52,222,52476,251,9025,1800,309,323,315,2245,2706,7698,69671
2016,64,Estimated,Estimated using previous year's AADF on this link,683,101,13161,389,2076,144,19,4,8,11,23.56,186,15913
2016,501,Counted,Manual count,23.54,387,91662,402,15563,2193,361,325,648,3254,2791,9572,117586
2016,502,Counted,Manual count,17.33,135,54374,165,10346,1203,388,354,195,547,2626,5312,70332
2016,503,Estimated,Estimated using previous year's AADF on this link,12.29,212,50821,148,11404,1334,300,332,213,1173,820,4173,66757
2016,505,Estimated,Estimated using previous year's AADF on this link,83,57,9892,131,1061,57,5,4,2,2,3,73,11214
2016,506,Estimated,Estimated using previous year's AADF on this link,16,34,1701,20,523,43,3,5,3,10,10,73,2350
2016,508,Counted,Manual count,23,130,4469,39,786,81,21,15,20,69,85,291,5715
2016,509,Counted,Manual count,10.73,87,18870,114,4228,654,145,114,146,1416,1387,3862,27161
2016,510,Estimated,Estimated using previous year's AADF on this link,32,179,6002,37,1003,138,25,18,22,50,56,309,7531
2016,512,Estimated,Estimated using previous year's AADF on this link,9.82,60,2436,16,808,159,16,14,14,35,35,273,3592
2016,514,Estimated,Estimated using previous year's AADF on this link,17,114,7596,47,1341,136,58,28,11,34,56,324,9422
