CP,region,code,Local_athority,S Ref E,S Ref N,S Ref Latitude,S Ref Longitude,Road,Road.Name,RCat,CP.Location
910004,North West,NULL,Knowsley,352100,398200,53.47833445,-2.723203908,U,NULL,UU,NULL
910005,East Midlands,NULL,Nottinghamshire,451147,336827,52.92642661,-1.240622565,C159,NULL,CU,NULL
910006,South West,NULL,Devon,259800,95826,50.745067,-3.9885331,B3215,NULL,BR,NULL
910009,Yorkshire and The Humber,NULL,Doncaster,455900,406100,53.54856901,-1.157798495,U,NULL,UU,NULL
910013,South West,NULL,Devon,302600,81984,50.62939312,-3.378470799,B3178,NULL,BU,NULL
910018,North West,NULL,Cumbria,360842,524160,54.6110731,-2.607795808,C3047,NULL,CR,NULL
910026,Wales,NULL,Bridgend,290181,186289,51.56475091,-3.585755757,C,NULL,CR,NULL
916464,South East,NULL,Oxfordshire,453400,223200,51.90479024,-1.225217232,B430,NULL,BR,NULL
919007,North West,NULL,Oldham,396581,408487,53.57297559,-2.053102464,B6197,NULL,BR,NULL
919009,North West,NULL,West Cheshire,350516,369450,53.21978625,-2.742563092,B5393,NULL,BR,NULL
919011,North West,NULL,East Cheshire,369156,350345,53.04947073,-2.461565813,B5071,NULL,BR,NULL
919017,West Midlands,NULL,Dudley,391701,290510,52.51241555,-2.12371507,B4176,NULL,BU,NULL
919019,West Midlands,NULL,Birmingham,412444,284131,52.45499445,-1.818304695,B4146,NULL,BU,NULL
919022,South West,NULL,Wiltshire,383901,167623,51.40740172,-2.23284479,B3109,NULL,BR,NULL
919028,South East,NULL,Hampshire,454610,104723,50.83946769,-1.225802475,B3334,NULL,BU,NULL
919032,South East,NULL,West Sussex,476821,120000,50.97430142,-0.907205615,B2146,NULL,BR,NULL
919035,South East,NULL,Buckinghamshire,496233,183054,51.53819644,-0.613855412,B416,NULL,BR,NULL
919054,Scotland,NULL,South Ayrshire,233825,620223,55.44758727,-4.628890513,B7024,NULL,BU,NULL
919059,North West,NULL,Cumbria,353435,560791,54.93960056,-2.728359912,B6413,NULL,BR,NULL
